pathways	KEGGREST_genes	name	pathwayclass	category
hsa00010	3101, 3098, 3099, 80201, 2645, 2821, 5213, 5214, 5211, 2203, 8789, 230, 226, 229, 7167, 2597, 26330, 5232, 5230, 5223, 5224, 441531, 2027, 2026, 2023, 387712, 5315, 5313, 5161, 5160, 5162, 1737, 1738, 160287, 92483, 3939, 3945, 3948, 124, 125, 126, 131, 127, 128, 130, 10327, 217, 224, 219, 501, 223, 221, 222, 218, 84532, 55902, 130589, 5236, 55276, 2538, 57818, 92579, 83440, 669, 9562, 5105, 5106	Glycolysis / Gluconeogenesis - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00020	1431, 47, 50, 48, 3417, 3418, 3420, 3421, 3419, 55753, 4967, 1743, 1738, 8802, 8801, 8803, 6389, 6390, 6391, 6392, 2271, 4190, 4191, 5091, 5105, 5106, 5161, 5160, 5162, 1737	Citrate cycle (TCA cycle) - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00030	2821, 2539, 25796, 9563, 5226, 6120, 729020, 7086, 84076, 8277, 6888, 22934, 51071, 64080, 5236, 55276, 221823, 5634, 5631, 9104, 414328, 132158, 230, 226, 229, 2203, 8789, 5213, 5214, 5211	Pentose phosphate pathway - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00040	2990, 9365, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 7358, 7360, 10327, 51084, 6120, 729020, 9942, 231, 57016, 51181, 6652, 27294, 729920	Pentose and glucuronate interconversions - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00051	4351, 5373, 5372, 29925, 29926, 2762, 7264, 8790, 197258, 55556, 3101, 3098, 3099, 80201, 5213, 5214, 5211, 2203, 8789, 5207, 5208, 5209, 5210, 57103, 3795, 6652, 231, 57016, 230, 226, 229, 7167, 26007	Fructose and mannose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00052	130589, 2584, 2592, 2582, 7360, 5236, 55276, 3101, 3098, 3099, 80201, 2645, 2538, 57818, 92579, 2720, 3938, 3906, 2683, 8704, 2717, 231, 57016, 5213, 5214, 5211, 8972, 93432, 2548, 2595, 6476	Galactose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00053	7358, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 2990, 9365, 55586, 10327, 9104, 217, 224, 219, 501, 223	Ascorbate and aldarate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00061	31, 32, 197322, 27349, 2194, 54995, 84869, 7923, 109703458, 51102, 55301, 23305, 2182, 2180, 51703, 2181, 23205, 81616	Fatty acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00062	10449, 3032, 3033, 3030, 1892, 51102, 5538, 9374, 64834, 54898, 83401, 6785, 60481, 79071, 79993, 51144, 201562, 9200, 401494, 51495, 9524, 122970, 10965, 641371, 11332, 117145, 284486	Fatty acid elongation - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00071	39, 38, 30, 10449, 3032, 3033, 3030, 1962, 1892, 8310, 51, 35, 34, 33, 36, 37, 2639, 23305, 2182, 2180, 51703, 2181, 23205, 81616, 1374, 1375, 126129, 1376, 1632, 10455, 113612, 124, 125, 126, 131, 127, 128, 130, 217, 224, 219, 501, 223	Fatty acid degradation - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
