TF_ENTREZID	TF_ENSEMBL	TF_UNIPROT	TF_SYMBOL
NA	NA	A0A023HHK9	NA
NA	NA	A0A075B6J1	NA
NA	NA	A0A126GW21	NA
79733	ENSG00000129173	A0AVK6	E2F8
389549	ENSG00000128610	A0PJY2	FEZF1
NA	NA	A2NVP9	NA
162967	ENSG00000182986	A2RRD8	ZNF320
55814	ENSG00000145734	A6H8Y1	BDP1
55814	ENSG00000274803	A6H8Y1	BDP1
55814	ENSG00000273873	A6H8Y1	BDP1
NA	NA	A6NDR6	NA
100131017	ENSG00000205903	A6NFI3	ZNF316
NA	NA	A6NGD5	NA
23347	ENSG00000101596	A6NHR9	SMCHD1
342933	ENSG00000197213	A6NJL1	ZSCAN5B
146540	ENSG00000197162	A8K8V0	ZNF785
57491	ENSG00000286169	A9YTQ3	AHRR
100128927	ENSG00000179627	B2RXF5	ZBTB42
100507679	ENSG00000261272	E2RYF6	MUC22
NA	NA	O00110	NA
4221	ENSG00000133895	O00255	MEN1
6829	ENSG00000196235	O00267	SUPT5H
2116	ENSG00000105672	O00321	ETV2
406	ENSG00000133794	O00327	ARNTL
2304	ENSG00000178919	O00358	FOXE1
1112	ENSG00000053254	O00409	FOXN3
4211	ENSG00000143995	O00470	MEIS1
22936	ENSG00000118985	O00472	ELL2
2494	ENSG00000116833	O00482	NR5A2
4781	ENSG00000147862	O00712	NFIB
1871	ENSG00000112242	O00716	E2F3
8289	ENSG00000117713	O14497	ARID1A
8553	ENSG00000134107	O14503	BHLHE40
8625	ENSG00000064490	O14593	RFXANK
1105	ENSG00000153922	O14646	CHD1
1106	ENSG00000173575	O14647	CHD2
8085	ENSG00000167548	O14686	KMT2D
10168	ENSG00000186448	O14709	ZNF197
10168	ENSG00000281709	O14709	ZNF197
10419	ENSG00000100462	O14744	PRMT5
7015	ENSG00000164362	O14746	TERT
4212	ENSG00000134138	O14770	MEIS2
7760	ENSG00000085644	O14771	ZNF213
571	ENSG00000156273	O14867	BACH1
8462	ENSG00000172059	O14901	KLF11
10127	ENSG00000006194	O14978	ZNF263
7514	ENSG00000082898	O14980	XPO1
9739	ENSG00000099381	O15047	SETD1A
23135	ENSG00000132510	O15054	KDM6B
9925	ENSG00000168795	O15062	ZBTB5
6926	ENSG00000135111	O15119	TBX3
51043	ENSG00000160685	O15156	ZBTB7B
8805	ENSG00000122779	O15164	TRIM24
6862	ENSG00000164458	O15178	TBXT
7161	ENSG00000078900	O15350	TP73
8841	ENSG00000171720	O15379	HDAC3
404281	ENSG00000230797	O15391	YY2
93986	ENSG00000128573	O15409	FOXP2
9575	ENSG00000134852	O15516	CLOCK
