"TF_ensembl","glygenes_ensembl","TF_symbol","glygenes_symbol","EnhancerSiteCount","gene_pair"
"ENSG00000004487","ENSG00000074800","KDM1A","ENO1",14,"KDM1A_ENO1"
"ENSG00000004487","ENSG00000142583","KDM1A","SLC2A5",3,"KDM1A_SLC2A5"
"ENSG00000004487","ENSG00000117394","KDM1A","SLC2A1",18,"KDM1A_SLC2A1"
"ENSG00000004487","ENSG00000117448","KDM1A","AKR1A1",8,"KDM1A_AKR1A1"
"ENSG00000004487","ENSG00000079739","KDM1A","PGM1",1,"KDM1A_PGM1"
"ENSG00000004487","ENSG00000143627","KDM1A","PKLR",6,"KDM1A_PKLR"
"ENSG00000004487","ENSG00000143149","KDM1A","ALDH9A1",10,"KDM1A_ALDH9A1"
"ENSG00000004487","ENSG00000123836","KDM1A","PFKFB2",7,"KDM1A_PFKFB2"
"ENSG00000004487","ENSG00000138030","KDM1A","KHK",25,"KDM1A_KHK"
"ENSG00000004487","ENSG00000143891","KDM1A","GALM",20,"KDM1A_GALM"
"ENSG00000004487","ENSG00000159399","KDM1A","HK2",10,"KDM1A_HK2"
"ENSG00000004487","ENSG00000152254","KDM1A","G6PC2",5,"KDM1A_G6PC2"
"ENSG00000004487","ENSG00000152256","KDM1A","PDK1",7,"KDM1A_PDK1"
"ENSG00000004487","ENSG00000114268","KDM1A","PFKFB4",3,"KDM1A_PFKFB4"
"ENSG00000004487","ENSG00000163931","KDM1A","TKT",6,"KDM1A_TKT"
"ENSG00000004487","ENSG00000168291","KDM1A","PDHB",5,"KDM1A_PDHB"
"ENSG00000004487","ENSG00000169299","KDM1A","PGM2",3,"KDM1A_PGM2"
"ENSG00000004487","ENSG00000197894","KDM1A","ADH5",4,"KDM1A_ADH5"
"ENSG00000004487","ENSG00000196616","KDM1A","ADH1B",1,"KDM1A_ADH1B"
"ENSG00000004487","ENSG00000164904","KDM1A","ALDH7A1",12,"KDM1A_ALDH7A1"
"ENSG00000004487","ENSG00000160883","KDM1A","HK3",6,"KDM1A_HK3"
"ENSG00000004487","ENSG00000170950","KDM1A","PGK2",3,"KDM1A_PGK2"
"ENSG00000004487","ENSG00000106633","KDM1A","GCK",4,"KDM1A_GCK"
"ENSG00000004487","ENSG00000004799","KDM1A","PDK4",2,"KDM1A_PDK4"
"ENSG00000004487","ENSG00000091140","KDM1A","DLD",6,"KDM1A_DLD"
"ENSG00000004487","ENSG00000172331","KDM1A","BPGM",7,"KDM1A_BPGM"
"ENSG00000004487","ENSG00000137124","KDM1A","ALDH1B1",17,"KDM1A_ALDH1B1"
"ENSG00000004487","ENSG00000130957","KDM1A","FBP2",3,"KDM1A_FBP2"
"ENSG00000004487","ENSG00000136872","KDM1A","ALDOB",1,"KDM1A_ALDOB"
"ENSG00000004487","ENSG00000102144","KDM1A","PGK1",1,"KDM1A_PGK1"
"ENSG00000004487","ENSG00000226784","KDM1A","PGAM4",1,"KDM1A_PGAM4"
"ENSG00000004487","ENSG00000067057","KDM1A","PFKP",6,"KDM1A_PFKP"
"ENSG00000004487","ENSG00000170525","KDM1A","PFKFB3",14,"KDM1A_PFKFB3"
"ENSG00000004487","ENSG00000156510","KDM1A","HKDC1",6,"KDM1A_HKDC1"
"ENSG00000004487","ENSG00000156515","KDM1A","HK1",9,"KDM1A_HK1"
"ENSG00000004487","ENSG00000171314","KDM1A","PGAM1",5,"KDM1A_PGAM1"
"ENSG00000004487","ENSG00000134333","KDM1A","LDHA",3,"KDM1A_LDHA"
"ENSG00000004487","ENSG00000166800","KDM1A","LDHAL6A",1,"KDM1A_LDHAL6A"
"ENSG00000004487","ENSG00000173599","KDM1A","PC",15,"KDM1A_PC"
"ENSG00000004487","ENSG00000132746","KDM1A","ALDH3B2",12,"KDM1A_ALDH3B2"
"ENSG00000004487","ENSG00000006534","KDM1A","ALDH3B1",5,"KDM1A_ALDH3B1"
"ENSG00000004487","ENSG00000150768","KDM1A","DLAT",2,"KDM1A_DLAT"
"ENSG00000004487","ENSG00000111640","KDM1A","GAPDH",10,"KDM1A_GAPDH"
"ENSG00000004487","ENSG00000111674","KDM1A","ENO2",6,"KDM1A_ENO2"
"ENSG00000004487","ENSG00000111669","KDM1A","TPI1",2,"KDM1A_TPI1"
"ENSG00000004487","ENSG00000059804","KDM1A","SLC2A3",9,"KDM1A_SLC2A3"
"ENSG00000004487","ENSG00000152556","KDM1A","PFKM",8,"KDM1A_PFKM"
"ENSG00000004487","ENSG00000111275","KDM1A","ALDH2",20,"KDM1A_ALDH2"
"ENSG00000004487","ENSG00000100889","KDM1A","PCK2",4,"KDM1A_PCK2"
"ENSG00000004487","ENSG00000171989","KDM1A","LDHAL6B",5,"KDM1A_LDHAL6B"
"ENSG00000004487","ENSG00000067225","KDM1A","PKM",6,"KDM1A_PKM"
"ENSG00000004487","ENSG00000159322","KDM1A","ADPGK",6,"KDM1A_ADPGK"
"ENSG00000004487","ENSG00000149925","KDM1A","ALDOA",6,"KDM1A_ALDOA"
"ENSG00000004487","ENSG00000108515","KDM1A","ENO3",4,"KDM1A_ENO3"
