SYMBOL,ENSEMBL,type
DPF2,ENSG00000133884,tf
JUND,ENSG00000130522,tf
ZNF600,ENSG00000189190,tf
ZIC2,ENSG00000043355,tf
BCL11A,ENSG00000119866,tf
YY1,ENSG00000100811,tf
HIC1,ENSG00000177374,tf
ZBTB10,ENSG00000205189,tf
REST,ENSG00000084093,tf
NFIC,ENSG00000141905,tf
ZNF207,ENSG00000010244,tf
CEBPB,ENSG00000172216,tf
MAZ,ENSG00000103495,tf
TRIM22,ENSG00000132274,tf
MNT,ENSG00000070444,tf
CTCF,ENSG00000102974,tf
TCF12,ENSG00000140262,tf
ZNF639,ENSG00000121864,tf
ZNF217,ENSG00000171940,tf
ARNT,ENSG00000143437,tf
KDM6A,ENSG00000147050,tf
CHD4,ENSG00000111642,tf
RAD51,ENSG00000051180,tf
BHLHE40,ENSG00000134107,tf
SAP130,ENSG00000136715,tf
ETS1,ENSG00000134954,tf
FOXA2,ENSG00000125798,tf
HOMEZ,ENSG00000215271,tf
MAFF,ENSG00000185022,tf
IRF4,ENSG00000137265,tf
SMARCA5,ENSG00000153147,tf
ZNF316,ENSG00000205903,tf
EBF1,ENSG00000164330,tf
RXRA,ENSG00000186350,tf
CBFB,ENSG00000067955,tf
SMAD4,ENSG00000141646,tf
KAT7,ENSG00000136504,tf
ZBTB33,ENSG00000177485,tf
USF2,ENSG00000105698,tf
FOSL2,ENSG00000075426,tf
RARA,ENSG00000131759,tf
ETV4,ENSG00000175832,tf
RBM22,ENSG00000086589,tf
ZNF658,ENSG00000274349,tf
DRAP1,ENSG00000175550,tf
DMAP1,ENSG00000178028,tf
TBP,ENSG00000112592,tf
MAFK,ENSG00000198517,tf
THRB,ENSG00000151090,tf
TEAD3,ENSG00000007866,tf
ZSCAN5A,ENSG00000131848,tf
BCL6,ENSG00000113916,tf
CREM,ENSG00000095794,tf
FOXP1,ENSG00000114861,tf
MAX,ENSG00000125952,tf
GTF2F1,ENSG00000125651,tf
PRDM6,ENSG00000061455,tf
EHMT2,ENSG00000204371,tf
EHMT2,ENSG00000232045,tf
EHMT2,ENSG00000238134,tf
EHMT2,ENSG00000224143,tf
EHMT2,ENSG00000227333,tf
EHMT2,ENSG00000236759,tf
EHMT2,ENSG00000206376,tf
BATF,ENSG00000156127,tf
ZNF24,ENSG00000172466,tf
FOXK2,ENSG00000141568,tf
TBX3,ENSG00000135111,tf
ZNF189,ENSG00000136870,tf
SOX5,ENSG00000134532,tf
MAFG,ENSG00000197063,tf
PAX5,ENSG00000196092,tf
ZEB2,ENSG00000169554,tf
ZC3H8,ENSG00000144161,tf
IKZF1,ENSG00000185811,tf
ZFP37,ENSG00000136866,tf
ZNF384,ENSG00000126746,tf
NFATC1,ENSG00000131196,tf
HNF4A,ENSG00000101076,tf
CHAMP1,ENSG00000198824,tf
EGR1,ENSG00000120738,tf
NR2F1,ENSG00000175745,tf
RAD21,ENSG00000164754,tf
SP1,ENSG00000185591,tf
MTA3,ENSG00000057935,tf
ZNF48,ENSG00000180035,tf
FOXA1,ENSG00000129514,tf
ATF2,ENSG00000115966,tf
MIER2,ENSG00000105556,tf
ZNF362,ENSG00000160094,tf
ATF4,ENSG00000128272,tf
JUNB,ENSG00000171223,tf
ZNF514,ENSG00000144026,tf
TOE1,ENSG00000132773,tf
NFIB,ENSG00000147862,tf
STAT3,ENSG00000168610,tf
LCORL,ENSG00000178177,tf
TFAP4,ENSG00000090447,tf
ZNF18,ENSG00000154957,tf
TEAD4,ENSG00000197905,tf
GATA4,ENSG00000136574,tf
GATA4,ENSG00000285109,tf
RXRB,ENSG00000204231,tf
RXRB,ENSG00000231321,tf
RXRB,ENSG00000235712,tf
RXRB,ENSG00000228333,tf
RXRB,ENSG00000227322,tf
RXRB,ENSG00000206289,tf
ZNF652,ENSG00000198740,tf
NR2F6,ENSG00000160113,tf
IKZF5,ENSG00000095574,tf
ELF3,ENSG00000163435,tf
L3MBTL2,ENSG00000100395,tf
ARID3A,ENSG00000116017,tf
CEBPG,ENSG00000153879,tf
SP7,ENSG00000170374,tf
SREBF1,ENSG00000072310,tf
HDAC1,ENSG00000116478,tf
ZNF580,ENSG00000213015,tf
KLF5,ENSG00000102554,tf
NFIA,ENSG00000162599,tf
POLR2A,ENSG00000181222,tf
POLR2A,ENSG00000284832,tf
GABPB1,ENSG00000104064,tf
JUN,ENSG00000177606,tf
ARID1B,ENSG00000049618,tf
ZBED1,ENSG00000214717,tf
NFIL3,ENSG00000165030,tf
SMARCE1,ENSG00000073584,tf
ZNF687,ENSG00000143373,tf
HNF1A,ENSG00000135100,tf
PPARG,ENSG00000132170,tf
YY2,ENSG00000230797,tf
MLLT1,ENSG00000130382,tf
ZNF184,ENSG00000096654,tf
TBL1XR1,ENSG00000177565,tf
MLX,ENSG00000108788,tf
SOX13,ENSG00000143842,tf
ATF3,ENSG00000162772,tf
CHD2,ENSG00000173575,tf
ZBTB8A,ENSG00000160062,tf
MIXL1,ENSG00000185155,tf
ZNF660,ENSG00000144792,tf
ZNF660,ENSG00000280661,tf
ZSCAN4,ENSG00000180532,tf
ZNF280D,ENSG00000137871,tf
ZNF280D,ENSG00000285253,tf
ZXDB,ENSG00000198455,tf
SP5,ENSG00000204335,tf
NCOR1,ENSG00000141027,tf
TARDBP,ENSG00000120948,tf
SPI1,ENSG00000066336,tf
ZFX,ENSG00000005889,tf
GATAD2A,ENSG00000167491,tf
HNRNPL,ENSG00000104824,tf
HNRNPL,ENSG00000282947,tf
NANOG,ENSG00000111704,tf
FOS,ENSG00000170345,tf
KLF16,ENSG00000129911,tf
TGIF2,ENSG00000118707,tf
CBFA2T2,ENSG00000078699,tf
MTA2,ENSG00000149480,tf
IKZF2,ENSG00000030419,tf
ZNF512,ENSG00000243943,tf
TCF7,ENSG00000081059,tf
RNF2,ENSG00000121481,tf
KAT8,ENSG00000103510,tf
TRIM24,ENSG00000122779,tf
IRF2,ENSG00000168310,tf
ELF1,ENSG00000120690,tf
ZBTB26,ENSG00000171448,tf
PRDM10,ENSG00000170325,tf
SOX6,ENSG00000110693,tf
GABPA,ENSG00000154727,tf
YBX1,ENSG00000065978,tf
PKNOX1,ENSG00000160199,tf
EED,ENSG00000074266,tf
TFDP1,ENSG00000198176,tf
ZHX2,ENSG00000178764,tf
ZNF592,ENSG00000166716,tf
ATF7,ENSG00000170653,tf
NBN,ENSG00000104320,tf
RUNX3,ENSG00000020633,tf
ETV6,ENSG00000139083,tf
FOXA3,ENSG00000170608,tf
ZBTB40,ENSG00000184677,tf
LEF1,ENSG00000138795,tf
USF1,ENSG00000158773,tf
RCOR2,ENSG00000167771,tf
GATAD2B,ENSG00000143614,tf
GATAD2B,ENSG00000261992,tf
BCOR,ENSG00000183337,tf
CC2D1A,ENSG00000132024,tf
CC2D1A,ENSG00000288293,tf
GTF2A2,ENSG00000140307,tf
NR2C1,ENSG00000120798,tf
CBFA2T3,ENSG00000129993,tf
NR2F2,ENSG00000185551,tf
TFE3,ENSG00000068323,tf
EP300,ENSG00000100393,tf
ZSCAN5C,ENSG00000204532,tf
SKI,ENSG00000157933,tf
ZGPAT,ENSG00000197114,tf
KDM1A,ENSG00000004487,tf
EMSY,ENSG00000158636,tf
PRDM1,ENSG00000057657,tf
SMARCA4,ENSG00000127616,tf
ZBTB44,ENSG00000196323,tf
BCLAF1,ENSG00000029363,tf
MGA,ENSG00000174197,tf
ZNF10,ENSG00000256223,tf
ZNF654,ENSG00000175105,tf
ZNF341,ENSG00000131061,tf
KLF11,ENSG00000172059,tf
ZNF511,ENSG00000198546,tf
SIN3A,ENSG00000169375,tf
SMC3,ENSG00000108055,tf
HLTF,ENSG00000071794,tf
SCRT1,ENSG00000261678,tf
SCRT1,ENSG00000284923,tf
STAT5A,ENSG00000126561,tf
ZNF2,ENSG00000275111,tf
INSM2,ENSG00000168348,tf
GATAD1,ENSG00000157259,tf
HBP1,ENSG00000105856,tf
HBP1,ENSG00000283847,tf
RBPJ,ENSG00000168214,tf
CHD1,ENSG00000153922,tf
GLIS1,ENSG00000174332,tf
ZNF143,ENSG00000166478,tf
ZNF548,ENSG00000188785,tf
KDM3A,ENSG00000115548,tf
ZNF366,ENSG00000178175,tf
KLF1,ENSG00000105610,tf
ARID4B,ENSG00000054267,tf
PAF1,ENSG00000006712,tf
HLF,ENSG00000108924,tf
MBD1,ENSG00000141644,tf
ARID2,ENSG00000189079,tf
EGR2,ENSG00000122877,tf
PATZ1,ENSG00000100105,tf
HDGF,ENSG00000143321,tf
GLIS2,ENSG00000126603,tf
GLIS2,ENSG00000274636,tf
CREB1,ENSG00000118260,tf
AHR,ENSG00000106546,tf
